,congress,chamber,result,description,vote_result_category,democratic_yes,democratic_no,democratic_present,democratic_not_voting,democratic_majority_position,republican_yes,republican_no,republican_present,republican_not_voting,republican_majority_position,independent_yes,independent_no,independent_present,independent_not_voting,total_yes,total_no,total_present,total_not_voting,pass
3904,112,Senate,Amendment Rejected,To prohibit employees of the United States Postal Service from engaging in collective bargaining.,not pass,0,51,0,0,No,23,23,0,1,None,0,2,0,0,23,76,0,1,not pass
3905,112,Senate,Amendment Rejected,To establish a pilot program to test alternative methods for the delivery of postal services.,not pass,0,51,0,0,No,35,11,0,1,Yes,0,2,0,0,35,64,0,1,not pass
3906,112,Senate,Amendment Rejected,"To extend the moratorium on the closing and consolidation of postal facilities or post offices, stations, or branches.",not pass,38,12,0,1,Yes,4,40,0,3,No,1,1,0,0,43,53,0,4,not pass
3907,112,Senate,Amendment Rejected,To end the mailbox use monopoly.,not pass,0,51,0,0,No,35,11,0,1,Yes,0,2,0,0,35,64,0,1,not pass
3908,112,Senate,Amendment Rejected,"To allow supervisory and other managerial organizations to participate in the planning and development of changes in, or termination of, pay policies and schedules and fringe benefit programs.",not pass,51,0,0,0,Yes,4,42,0,1,No,2,0,0,0,57,42,0,1,not pass
3909,112,Senate,Amendment Rejected,To improve the bill.,not pass,0,51,0,0,No,29,17,0,1,Yes,0,2,0,0,29,70,0,1,not pass
3910,112,Senate,Amendment Rejected,To provide appropriate workers compensation for Federal employees.,not pass,44,7,0,0,Yes,1,45,0,1,No,1,1,0,0,46,53,0,1,not pass
3911,112,Senate,Amendment Rejected,"To strike the limitations on changes to mail delivery schedule, with an offset.",not pass,41,10,0,0,Yes,1,45,0,1,No,1,1,0,0,43,56,0,1,not pass
3912,112,Senate,Amendment Rejected,To achieve long-term cost-savings by allowing the Postmaster General to reduce the postal workforce through mandatory retirements for eligible employees.,not pass,0,51,0,0,No,33,12,0,2,Yes,0,2,0,0,33,65,0,2,not pass
3913,112,Senate,Amendment Rejected,To establish the Commission on Postal Reorganization.,not pass,0,51,0,0,No,30,16,0,1,Yes,0,2,0,0,30,69,0,1,not pass
3914,112,Senate,Motion Agreed to,In the nature of a substitute.,pass,51,0,0,0,Yes,9,37,0,1,No,2,0,0,0,62,37,0,1,pass
3915,112,Senate,Motion to Proceed Rejected,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to representation election procedures.",not pass,0,51,0,0,No,45,1,0,1,Yes,0,2,0,0,45,54,0,1,not pass
3916,112,Senate,Nomination Confirmed,"Brian C. Wimes, of Missouri, to be United States District Judge for the Eastern and Western Districts of Missouri",pass,49,0,0,2,Yes,41,1,0,5,Yes,2,0,0,0,92,1,0,7,pass
3917,112,Senate,Cloture on the Motion to Proceed Agreed to,"A bill to improve, sustain, and transform the United States Postal Service.",pass,45,4,0,2,Yes,27,18,0,2,Yes,2,0,0,0,74,22,0,4,pass
3918,112,Senate,Cloture on the Motion to Proceed Rejected,A bill to reduce the deficit by imposing a minimum effective tax rate for high-income taxpayers.,not pass,49,1,0,1,Yes,1,44,0,2,No,1,0,0,1,51,45,0,4,not pass
