"","bill","introduced","title","area","sponsor.party","cosponsors.r","cosponsors.d","cosponsors.i","status"
"7737","SRES458","2018-04-11","A resolution designating April 11, 2018, as the ""Sesquicentennial of Connecticut's Navy Installation"".","armed forces and national security","D",0,1,0,"Passed senate"
"7739","SRES465","2018-04-16","A resolution electing Michael C. Stenger as Sergeant at Arms and Doorkeeper of the Senate.","congress","R",0,0,0,"Passed senate"
"7740","SRES243","2017-08-02","A resolution expressing the sense of the Senate that Joseph Leon George should be honored for heroism at Pearl Harbor, Hawaii, on December 7, 1941.","armed forces and national security","R",3,2,0,"Passed senate"
"7746","SRES43","2017-02-02","A resolution recognizing January 2018 as National Mentoring Month.","education","R",2,4,0,"Passed senate"
"7753","SRES159","2017-05-08","A resolution recognizing and supporting the goals and ideals of National Sexual Assault Awareness and Prevention Month.","crime and law enforcement","R",1,1,0,"Passed senate"
"7756","SRES423","2018-03-01","Expressing support for the designation of the last day of February each year, as ""Rare Disease Day"".","health","D",3,6,0,"Passed senate"
"7766","SRES468","2018-04-16","A resolution designating May 20, 2017, as ""Kids to Parks Day"".","public lands and natural resources","D",2,3,0,"Passed senate"
"7772","SRES357","2017-12-12","Recognizing that international education and exchange programs further national security and foreign policy priorities, enhance economic competitiveness, and promote mutual understanding and cooperation among nations.","international affairs","D",5,20,1,"Passed senate"
"7799","SRES219","2017-07-13","A resolution designating July 13, 2017, as ""Summer Learning Day"", a day to reflect on the importance of providing young people with safe, productive, and enriching activities every summer, ensuring the young people return to school in the fall with the skills vital to succeed in the year ahead.","education","D",1,0,0,"Introduced"
"7801","SRES26","2017-01-24","A resolution designating the week of January 21 through January 27, 2018, as ""National School Choice Week"".","education","R",19,1,0,"Passed senate"
"7822","SRES49","2017-02-06","A resolution declaring that achieving the primary goal of the National Plan to Address Alzheimer's Disease of the Department of Health and Human Services to prevent and effectively treat Alzheimer's disease by 2025 is an urgent national priority.","health","R",1,3,0,"Introduced"
"7827","SRES210","2017-06-29","Countering Iran's Destabilizing Activities Act of 2017","international affairs","R",0,0,0,"Passed senate"
"7828","SRES480","2018-04-23","A resolution expressing support for the designation of May 1, 2017, as ""Silver Star Service Banner Day"".","armed forces and national security","R",0,1,0,"Passed senate"
"7830","SRES490","2018-04-26","Supporting the goals and ideals of ""Financial Literacy Month"".","finance and financial sector","D",7,14,0,"Passed senate"
"7852","SRES427","2018-03-08","Supporting the goals and ideals of Social Work Month during March 2018 and World Social Work Day on March 20, 2018.","social welfare","D",0,0,0,"Introduced"
"7853","SRES129","2017-04-07","A resolution designating April 2018 as ""Second Chance Month"".","crime and law enforcement","R",1,2,0,"Passed senate"
"7857","SRES344","2017-11-29","A resolution honoring the life and achievements of Dr. Robert Lawrence Jr.","science, technology, communications","D",3,3,0,"Passed senate"
"7864","SRES561","2018-06-28","Expressing support for designation of July as National Sarcoma Awareness Month.","health","D",0,0,0,"Introduced"
"7865","SRES416","2018-02-27","Supporting the goals and ideals of Career and Technical Education Month.","labor and employment","D",16,27,1,"Passed senate"
